City_ID,City,Country,Max Temperature,Current Description,Latitude,Longitude,Hotel Name
477,Itarema,BR,79.09,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
481,Vao,NC,76.35,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
482,Eyl,SO,69.53,few clouds,7.9803,49.8164,Amiin Hotel
483,Gweru,ZW,63.41,light rain,-19.45,29.8167,Suskwe Lodges
485,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
492,Manhumirim,BR,67.21,scattered clouds,-20.3578,-41.9581,Palace Hotel de Manhumirim
494,Tezu,IN,68.97,broken clouds,27.9167,96.1667,Circuit House
495,Itiuba,BR,70.5,overcast clouds,-10.6917,-39.8536,PRÉDIO SOUSA MOTOS
498,Veraval,IN,66.47,broken clouds,20.9,70.3667,Lords Inn Somnath
502,Lima,PE,75.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
503,Florianopolis,BR,77.0,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
506,Rabo De Peixe,PT,59.0,few clouds,37.8,-25.5833,Quinta das Giestas
507,Wau,SS,71.78,broken clouds,7.7029,27.9953,Universal Gab Hotel
510,Coquimbo,CL,62.6,broken clouds,-29.9533,-71.3436,Hotel San Juan
511,Faratsiho,MG,55.51,scattered clouds,-19.4,46.95,LAVILLA FARATSIHO
515,Altar,MX,61.0,broken clouds,30.7,-111.8167,Hotel Maria Elena
518,Ouesso,CG,72.9,overcast clouds,1.6136,16.0517,Hôtel ABENI
519,Lusaka,ZM,62.73,overcast clouds,-15.4067,28.2871,InterContinental Lusaka
522,Kudahuvadhoo,MV,80.71,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
530,Sunbury,AU,73.0,broken clouds,-37.5833,144.7333,Sunbury Motor Inn
532,Coahuayana,MX,73.27,overcast clouds,18.7333,-103.6833,Hotel Los Arcos
533,Le Vauclin,MQ,77.0,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
536,Farafangana,MG,76.62,clear sky,-22.8167,47.8333,Miarina
538,Dunedin,NZ,55.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
540,Sibolga,ID,80.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
542,Kudat,MY,80.6,scattered clouds,6.8837,116.8477,Dream Garden Hotel
543,Canico,PT,59.0,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
546,Carira,BR,71.29,overcast clouds,-10.3608,-37.7011,Praca dos motorista
548,Nakhon Phanom,TH,77.0,haze,17.3333,104.4167,ป่ายางรีสอร์ท
550,Maneadero,MX,57.0,scattered clouds,31.7167,-116.5667,Casa De Thompson
552,Manacapuru,BR,75.2,clear sky,-3.2997,-60.6206,Novo Hotel
553,Quatre Cocos,MU,80.01,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
554,Kombissiri,BF,71.6,clear sky,12.0656,-1.3375,Mitibkieta Annexe
555,Phetchaburi,TH,78.01,overcast clouds,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
560,Knysna,ZA,57.2,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
561,Sandy Bay,AU,72.0,broken clouds,-42.913000000000004,147.3532,St Ives Hobart Accommodation Tasmania
562,Hambantota,LK,75.2,few clouds,6.1241,81.1185,Bungalow 63
563,Marawi,PH,80.01,broken clouds,7.9986,124.2928,Derogongan Residence
564,Palmeiras De Goias,BR,68.65,overcast clouds,-16.805,-49.9258,Hotel Água Virada
565,Kamphaeng Phet,TH,80.56,broken clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
567,San Vicente,AR,69.51,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
570,Santa Isabel Do Rio Negro,BR,75.43,scattered clouds,-0.4139,-65.0192,Hotel GSA
573,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
574,Kinablangan,PH,79.43,overcast clouds,7.6947,126.5503,Danny Moreno Property
575,Magangue,CO,78.17,overcast clouds,9.242,-74.7547,Abu Dhabi hotel´s
576,Vilhena,BR,69.42,overcast clouds,-12.7406,-60.1458,Hotel Mirage
583,Tarakan,ID,82.4,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
584,Stellenbosch,ZA,64.99,scattered clouds,-33.9346,18.8668,Summerwood Guest House
585,Santa Rosa,PH,82.99,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
587,Trelew,AR,56.71,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
590,Talara,PE,75.18,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
591,Tocopilla,CL,66.88,clear sky,-22.092,-70.1979,Hotel Galvarino
593,Batticaloa,LK,78.82,few clouds,7.7102,81.6924,Grand Star Guest House
598,Grand-Santi,GF,72.03,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
599,Maragogi,BR,77.34,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
600,Nava,MX,61.0,few clouds,28.4167,-100.7667,Casa Raúl Morales
602,Robertsport,LR,79.25,clear sky,6.7533,-11.3686,Kwepunha Retreat
604,Jacareacanga,BR,74.5,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
605,Trairi,BR,79.11,overcast clouds,-3.2778,-39.2689,janelas do mar
606,Tual,ID,83.35,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
608,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
609,Key Largo,US,69.01,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
610,Riyadh,SA,62.6,broken clouds,24.6877,46.7219,InterContinental Riyadh
611,Nova Olimpia,BR,73.2,overcast clouds,-14.7972,-57.2881,Motel glamour
614,Suba,PH,79.0,scattered clouds,10.8438,121.0102,Casita Bed and Grill
616,Wanning,CN,70.86,broken clouds,18.8003,110.3967,Paradise Hotel
620,Bambanglipuro,ID,82.67,moderate rain,-7.95,110.2833,Puri Brata
621,Hualmay,PE,70.77,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
625,Mangrol,IN,62.71,broken clouds,21.1167,70.1167,Hotel The Royal Honours
632,Kaoma,ZM,62.91,scattered clouds,-14.7833,24.8,KAOMA AIRPORT
633,Ntungamo,UG,64.53,clear sky,-0.8833,29.65,The Crested Crane Bwindi Hotel
635,Port Moresby,PG,84.2,broken clouds,-9.4431,147.1797,Lamana Hotel
636,Morant Bay,JM,78.8,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
641,Chiang Klang,TH,71.6,clear sky,19.2938,100.8617,Sangthong Resort
642,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
645,Vung Tau,VN,76.77,overcast clouds,10.345999999999998,107.0843,Seaside Resort
652,Jardim,BR,73.65,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
653,Najran,SA,59.0,clear sky,17.4924,44.1277,محمد هادي ال فطيح
654,Chichihualco,MX,65.95,broken clouds,17.6833,-99.65,Hotel Casa Blanca
655,Olavarria,AR,71.01,light rain,-36.8927,-60.3225,Hotel Santa Rosa
656,Acajutla,SV,80.02,broken clouds,13.5928,-89.8275,asi es
659,Myitkyina,MM,68.61,clear sky,25.3833,97.4,Shwe Phyu Hotel
665,Kavieng,PG,84.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
668,Katherine,AU,84.2,overcast clouds,-14.4667,132.2667,Pine Tree Motel
669,Ipora,BR,69.84,overcast clouds,-16.4419,-51.1178,Oásis Motel
670,Chiplun,IN,75.61,broken clouds,17.5333,73.5167,Hotel Reemz
671,Kralendijk,BQ,77.0,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
673,Iquitos,PE,77.0,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
675,Miandrivazo,MG,78.44,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
